E07000197,Stafford," 23,474 "," 19,058 "," 8,146 "," 9,369 ",39.1,31.7,13.6,15.6
E07000198,Staffordshire Moorlands," 20,401 "," 12,904 "," 3,653 "," 5,397 ",48.2,30.5,8.6,12.7
E07000199,Tamworth," 10,967 "," 11,303 "," 5,926 "," 4,699 ",33.3,34.4,18.0,14.3
E07000200,Babergh," 17,460 "," 11,387 "," 5,333 "," 6,020 ",43.4,28.3,13.3,15.0
E07000202,Ipswich," 16,810 "," 16,535 "," 12,368 "," 13,794 ",28.2,27.8,20.8,23.2
E07000203,Mid Suffolk," 19,151 "," 14,053 "," 5,011 "," 6,129 ",43.2,31.7,11.3,13.8
E07000207,Elmbridge," 18,809 "," 21,418 "," 5,608 "," 9,752 ",33.8,38.5,10.1,17.5
E07000208,Epsom and Ewell," 11,364 "," 12,161 "," 2,743 "," 5,053 ",36.3,38.8,8.8,16.1
E07000209,Guildford," 19,267 "," 18,446 "," 7,066 "," 10,981 ",34.6,33.1,12.7,19.7
E07000210,Mole Valley," 15,136 "," 12,433 "," 4,327 "," 5,243 ",40.8,33.5,11.7,14.1
E07000211,Reigate and Banstead," 20,196 "," 23,343 "," 6,907 "," 9,403 ",33.7,39.0,11.5,15.7
E07000212,Runnymede," 11,431 "," 12,216 "," 4,499 "," 6,692 ",32.8,35.1,12.9,19.2
E07000213,Spelthorne," 13,980 "," 15,020 "," 5,296 "," 7,508 ",33.4,35.9,12.7,18.0
E07000214,Surrey Heath," 13,156 "," 13,859 "," 3,449 "," 5,544 ",36.5,38.5,9.6,15.4
E07000215,Tandridge," 13,326 "," 13,615 "," 3,939 "," 4,743 ",37.4,38.2,11.1,13.3
E07000216,Waverley," 20,039 "," 18,240 "," 6,427 "," 7,742 ",38.2,34.8,12.3,14.8
E07000217,Woking," 13,251 "," 14,618 "," 4,792 "," 8,777 ",32.0,35.3,11.6,21.2
E07000218,North Warwickshire," 10,558 "," 9,117 "," 3,752 "," 4,154 ",38.3,33.1,13.6,15.1
E07000219,Nuneaton and Bedworth," 19,829 "," 19,136 "," 8,157 "," 9,463 ",35.0,33.8,14.4,16.7
E07000220,Rugby," 15,703 "," 16,704 "," 6,074 "," 8,534 ",33.4,35.5,12.9,18.2
E07000221,Stratford-on-Avon," 24,156 "," 19,027 "," 7,906 "," 8,374 ",40.6,32.0,13.3,14.1
E07000222,Warwick," 21,411 "," 20,440 "," 8,804 "," 11,963 ",34.2,32.6,14.1,19.1
E07000223,Adur," 11,101 "," 9,019 "," 3,436 "," 4,122 ",40.1,32.6,12.4,14.9
E07000224,Arun," 32,182 "," 20,424 "," 6,774 "," 13,281 ",44.3,28.1,9.3,18.3
E07000225,Chichester," 22,715 "," 13,411 "," 8,157 "," 9,835 ",42.0,24.8,15.1,18.2
E07000226,Crawley," 10,940 "," 14,983 "," 10,432 "," 9,147 ",24.0,32.9,22.9,20.1
E07000227,Horsham," 24,482 "," 21,655 "," 7,155 "," 9,078 ",39.3,34.7,11.5,14.6
E07000228,Mid Sussex," 23,259 "," 23,564 "," 6,812 "," 9,714 ",36.7,37.2,10.8,15.3
E07000229,Worthing," 18,052 "," 15,710 "," 4,845 "," 10,931 ",36.4,31.7,9.8,22.1
E07000234,Bromsgrove," 17,483 "," 14,969 "," 4,417 "," 4,395 ",42.4,36.3,10.7,10.7
E07000235,Malvern Hills," 15,753 "," 9,471 "," 5,001 "," 4,664 ",45.2,27.1,14.3,13.4
E07000236,Redditch," 11,254 "," 12,475 "," 7,331 "," 5,318 ",30.9,34.3,20.2,14.6
E07000237,Worcester," 14,320 "," 13,614 "," 7,269 "," 9,521 ",32.0,30.4,16.3,21.3
E07000238,Wychavon," 23,188 "," 17,705 "," 8,954 "," 7,509 ",40.4,30.9,15.6,13.1
E07000239,Wyre Forest," 18,477 "," 13,145 "," 6,411 "," 7,287 ",40.8,29.0,14.1,16.1
E07000240,St Albans," 20,615 "," 21,534 "," 7,187 "," 9,654 ",34.9,36.5,12.2,16.4
E07000241,Welwyn Hatfield," 12,711 "," 14,112 "," 11,714 "," 7,672 ",27.5,30.5,25.4,16.6
E07000242,East Hertfordshire," 21,140 "," 22,785 "," 8,111 "," 9,987 ",34.1,36.7,13.1,16.1
E07000243,Stevenage," 9,522 "," 11,900 "," 9,594 "," 5,496 ",26.1,32.6,26.3,15.1
E07000244,East Suffolk," 49,014 "," 27,709 "," 14,477 "," 19,549 ",44.3,25.0,13.1,17.7
E07000245,West Suffolk," 26,398 "," 21,933 "," 12,735 "," 17,681 ",33.5,27.9,16.2,22.5
E07000246,Somerset West and Taunton," 27,731 "," 18,683 "," 10,615 "," 12,957 ",39.6,26.7,15.2,18.5
E08000001,Bolton," 39,475 "," 34,101 "," 23,555 "," 21,659 ",33.2,28.7,19.8,18.2
E08000002,Bury," 27,752 "," 26,532 "," 12,044 "," 14,368 ",34.4,32.9,14.9,17.8
E08000003,Manchester," 35,423 "," 46,181 "," 63,276 "," 69,850 ",16.5,21.5,29.5,32.5
E08000004,Oldham," 29,384 "," 27,257 "," 19,760 "," 16,739 ",31.5,29.3,21.2,18.0
E08000005,Rochdale," 27,411 "," 27,308 "," 18,815 "," 16,688 ",30.4,30.3,20.9,18.5
E08000006,Salford," 25,294 "," 29,420 "," 29,227 "," 31,176 ",22.0,25.6,25.4,27.1
E08000007,Stockport," 46,498 "," 45,013 "," 16,849 "," 18,288 ",36.7,35.5,13.3,14.4
E08000008,Tameside," 30,363 "," 30,478 "," 21,125 "," 17,561 ",30.5,30.6,21.2,17.6
E08000009,Trafford," 33,149 "," 33,892 "," 14,419 "," 14,809 ",34.4,35.2,15.0,15.4
E08000010,Wigan," 49,212 "," 46,421 "," 24,333 "," 23,139 ",34.4,32.4,17.0,16.2
E08000011,Knowsley," 18,902 "," 20,927 "," 16,687 "," 9,557 ",28.6,31.7,25.3,14.5
